	14C	22C	38C	46C	6C	10C	26C	2C	34C	42C	13C	21C	29C	37C	45C	5C	17C	1C	25C	33C	41C	9C	15C	23C	39C	47C	7C	11C	19C	27C	35C	3C	43C	16C	24C	40C	48C	8C	12C	20C	28C	36C	44C	4C
ENSG00000002726	2	2.03894	2	5.00088	18.1071	1.06256	0	3.0015	1.0015	1	1.05798	2.02275	5.02507	6.02397	3.00023	3.16724	3.06108	9.02105	0	12.7785	5.12028	4.01321	0	132.000041686919	2.01714	2	1	1.34672	1	6.07163	27.8502	3.39365	6.04161	13.2118	8.06801	0	1.01042	2	2.01404	1.02612	5.02751	2.00156	0	2.00218
ENSG00000002745	365	572.9995	370	0	650	50	0	589	298	0	289.0003	0	0	0	0	0	0	41.00004	0	0	158.99964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	17	84	23	0	0	0	0	25.00003
ENSG00000002746	4.71488	6.31059	5.01682	8.22578	11.82983	5.45831	7.56014	0	5.08777	5.87161	5.36114	2.48917	6.4432	7.325482	3.24126	5.30415	6.3295	3.0573	1.00495	2.83026	7.31385	5.25089	21.20696	9.8187	8.93571	0	34.4555	2.63484	1.36733	9.63498	11.18616	16.34425	2.62804	4.34656	28.1774	1.47329	3.13032	5.21277	2.0153	10	2.04205	1.54624	0	1.19635
ENSG00000002822	2619.99936	6175.00139	4266.94836	3181.0038	5452.00488	7695.9908	6819.006	3851.99517	6596.99595001811	3611.004	1968.9959	1528	1977.99995	2251.9999315356	2565.99926	3850.9975	2313.990729	2877.0046	2243.0014	4109.99435674	1980.99968	5235.00312069296	0	3289.0018	1486.9997499	3123.9954	5444.00167	845.00082	0	2058.0001384164	1998.0039	4197.00251	1052.000324	1440.00000002635	551.9999	5560.3233	6923.05435	5439.49444	3229.49718	1707.06488	5580.91404	9586.2764	2511.30274	6688.35231
ENSG00000002834	1310.0361	3445.8553	2486.4248	1646.2744	6079.495020476	2699.93111	69.5401	1579.72261838	2273.76819	2982.196258	2058.9146	966.3695	2904.23975	2122.5046	3257.05340007244	1391.7752	1832.35210005423	2019.7173	1064.00020570536	2683.28710869	815.678930021421	1481.4961	1482.75060456	2792.246089	2299.621	2968.6501	1556.12102	611.9896	2.87727	1843.853	1570.664253	335.0073	1510.9917	1203.3633003234	672.50411	4054.53450004732	1262.3348	3108.51450001402	2937.009225596	1406.80356	4176.3966	4553.4648005	238.9275321	2177.0382200411
ENSG00000002919	1069.99926465	3731.0784	1752.553521	4219.41616	7302.52553	2580.13646	14929.1735423618	1345.42962	2298.40632	0.0891605	1803.99543	829.9996375	1803.80995	758.81943976098	948.0171569	842.96937	1293.00218	633.58929	433.9999	2451.99506441643	758.49487	781.25379	0	1178.48358	726.9805248654	1334.07104	1889.57538	960.31134	2.40094	846.81726	731.4202	1532.76467	117.41888	271.30233	1230.04448	1444.95669	721.99932	1420.49517	777.99954566209	838.16296	875.99951	2978.0458817	157.58935	1191.00006
ENSG00000002933	3	0	1	0	148.00043	1	0	7	10	0	0	0	4	5	17	0	7	0	0	10	14	3	0	5.000001	69.99997	782.99929	0	430.9998	0	174.00004	1193.99939	236.00037	0	13	402.00046	0	8	4	0	0	3	18	2	6
ENSG00000003056	5942.8163	6643.21423	6057.4128	5024.001	9822.65464001713	9926.05882	34527.70667	4863.4444961	10990.1173	6461.264	3199.526	0	3949.17402181528	3081.332133	5681.83591	3683.68418	4201.2308	4533.81405	6034.116086	4363.6269	5611.88351	6970.73417	9498.99	5695.95637	5131.79108	4274.35788	1100.0001	1206.0273	0	7033.69071	3915.70743	5025.22356	3489.98021	3337.7145	1214.0013	14498.1687503	5788.34414	8897.13644	8522.48321	3229.23157	10663.46354	11374.999	1525.3773	10459.23998
ENSG00000003096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22.999988	0	191.39981616712	51	368.0003	0	35.999963347	116.0000061
ENSG00000003137	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	1636.997	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	9.85832	16.1124	2.397624	2.20627	34.48618	25.41355	460.79727	19.6483	21.273096	107.153123	2.17405	6.80108	79.37835	215.02687	130.841595	55.49903	17.13546	66.96162	8.01656	37.10781	63.726	40.964184	3.36188	261.69182	9.88076	157.33363	50.94819	333.414075	0	6.26997	1722.089510141	28.81455	26.46707	30.281	21.46822	29.85018	93.56738	7.23036	13.73219	7.98085	19.96156	4.84898	5.340859	20.95297
ENSG00000003249	30	1.00018	61	0	360.08399	0	0	375.9997	1.00712	12.0821	1.00154	0	0	4.0171	1.00248	0	0	0	1.0018	1.00184	4.03905	0	0	0	0	0	1.00742	0	0	0	0	2.00541	0	0	1.00347	243	135.0000152284	133.10592	14.00493	322.06478	1.00037	1.06545	0	16.259210056
ENSG00000003393	317.21822	389.6493	247.74456	120.6092	857.17194	1.22696	75.9388	215.4009	357.907	3.64807	1.02272	0	1229.15656	655.1845	463.6222	403.7954	250.952	397.78234	2.27552	793.3438	67.26568	593.92084	2.15505	221.0929	177.707621	94.7937	15.7901	463.20815	0	568.38921	1098.76407	23.45833	35.6136	550.815	22.6364	208.7492	15.86802	169.5456	227.83439	129.3152	104.43021	18.6968	123.7395	214.1886805
ENSG00000003400	690.854	551.70642	522.12626	71.75654	2880.0602066	1343.2945	872.0709	429.54390791	1561.54015	1723.2393191	665.35549	3967.19214	664.46768	1265.727866	1499.500906	2187.78888	1812.67201	511.50868	66.2111	1439.01155	873.39968	907.36678	50.0586	1370.9601461	2083.284067	2009.78289592	2881.4823	1119.7052	19.5403235	2740.2659	139.0197	1542.6813	92.5930000286535	2682.5717	1588.2393	1111.2913712052	877.87356133209	574.22192	992.79118	1049.53081	773.01903	182.84585	375.287470052555	999.3748
ENSG00000003402	16238.16175	8294.91739	9541.46596217	9230.50466080081	31092.88844	12220.9569901386	10038.22615	5494.78295030159	7847.3855926	7595.00493	9587.3335	12292.1442	16719.73724	17631.86701	29855.13749	23902.99265	17267.2809	12043.03092	6775.23656	9145.7514	10053.4093	8473.44804	6133.12041003054	11541.570522258	13756.66422	12607.34891	9566.32038	6279.0702270317	19292.39901	7447.0848	8226.08453	6769.69722	11228.4903	8524.171544	4971.9646	18805.0497	21072.45427	18758.87633	24973.94506	15313.49682	22289.4497	12350.222822998	4042.88154	21405.62659
